Qt,Qt-1,St-1,St
96.3,97.4,5300,4960
94.3,96.3,4960,5560
100,94.3,5560,6300
94.6,100,6300,5350
106,94.6,5350,7900
111,106,7900,7180
111,111,7180,7100
110,111,7100,7080
111,110,7080,6500
112,111,6500,6780
112,112,6780,7140
111,112,7140,6780
111,111,6780,6510
111,111,6510,6450
111,111,6450,6450
110,111,6450,6650
109,110,6650,6070
108,109,6070,6680
108,108,6680,6980
105,108,6980,5490
98,105,5490,5340
89.8,98,5340,4880
78.7,89.8,4880,5280
60,78.7,5280,2660
53.8,60,2660,5640
51.5,53.8,5640,14400
52.4,51.5,14400,9990
45,52.4,9990,1510
42.2,45,1510,1230
41.3,42.2,1230,1080
45,41.3,1080,1610
41.1,45,1610,912
41.1,41.1,912,912
39.9,41.1,912,796
37.1,39.9,796,594
36.5,37.1,594,616
36,36.5,616,590
33.1,36,590,474
30.9,33.1,474,421
29.4,30.9,421,953
37.4,29.4,953,1950
35.1,37.4,1950,626
31.4,35.1,626,662
31.7,31.4,662,753
30.3,31.7,753,667
28.6,30.3,667,316
27.8,28.6,316,342
26.5,27.8,342,243
25.8,26.5,243,258
25.6,25.8,258,244
24.7,25.6,244,256
24.5,24.7,256,236
25.9,24.5,236,304
26,25.9,304,318
25.4,26,318,262
25,25.4,262,282
24.4,25,282,256
24,24.4,256,231
23.7,24,231,229
24,23.7,229,222
21.6,24,222,167
19.6,21.6,167,159
19,19.6,159,161
19.2,19,161,177
18.9,19.2,177,175
18.2,18.9,175,160
17.4,18.2,160,128
16,17.4,128,104
15.6,16,104,91
15.5,15.6,91,95
15.1,15.5,95,88
14.9,15.1,88,80
14.3,14.9,80,86
14.2,14.3,86,100
14.2,14.2,100,89
14.6,14.2,89,103
14.9,14.6,103,105
13.9,14.9,105,102
13.1,13.9,102,98
13,13.1,98,84
13,13,84,95
12,13,95,79
11.5,12,79,65
9.97,11.5,65,50
10.1,9.97,50,60
9.77,10.1,60,48
9.17,9.77,48,50
7.67,9.17,50,30
7.31,7.67,30,22
7.22,7.31,22,17
6.88,7.22,17,22
6.46,6.88,22,29
5.97,6.46,29,24
6.14,5.97,24,18
5.75,6.14,18,15
9.17,5.75,15,73
15.7,9.17,73,4820
16.6,15.7,4820,6370
13,16.6,6370,1690
